KH2012:KH.S618.6	KH2012:KH.S761.6	KH2012:KH.C1.569	KH2012:KH.C12.204	KH2012:KH.C1.215	KH2012:KH.C12.22	KH2012:KH.C6.149	KH2012:KH.C14.470	KH2012:KH.L71.18	KH2012:KH.C9.648	KH2012:KH.C7.109	KH2012:KH.L141.43	KH2012:KH.C7.438	KH2012:KH.C3.474	KH2012:KH.C2.252	KH2012:KH.C7.565	KH2012:KH.C1.849	KH2012:KH.L87.39	KH2012:KH.L41.54	KH2012:KH.C2.14	KH2012:KH.S435.4	KH2012:KH.C2.526	KH2012:KH.C2.506	KH2012:KH.L90.5	KH2012:KH.C10.332	KH2012:KH.C8.702	KH2012:KH.C2.491	KH2012:KH.C4.437	KH2012:KH.S534.4	KH2012:KH.L134.30	KH2012:KH.C1.498	KH2012:KH.C8.585	KH2012:KH.C4.718	KH2012:KH.C1.367	KH2012:KH.C2.1145	KH2012:KH.C2.136	KH2012:KH.L22.28	KH2012:KH.L154.10	KH2012:KH.C9.420	KH2012:KH.C4.649	KH2012:KH.L18.65	KH2012:KH.C14.377	KH2012:KH.C12.562	KH2012:KH.L170.62	KH2012:KH.C10.274	KH2012:KH.C12.92	KH2012:KH.L7.11	KH2012:KH.C1.20	KH2012:KH.C3.358	KH2012:KH.C2.116	KH2012:KH.S852.6	KH2012:KH.S761.9	KH2012:KH.S1104.4	KH2012:KH.C1.499	KH2012:KH.S1555.2	KH2012:KH.C5.62	KH2012:KH.L24.10	KH2012:KH.C8.446	KH2012:KH.C1.54	KH2012:KH.C2.641	KH2012:KH.C11.493	KH2012:KH.C8.762	KH2012:KH.C14.139	KH2012:KH.C2.220	KH2012:KH.C7.131	KH2012:KH.L164.21	KH2012:KH.C12.27	KH2012:KH.L4.45	KH2012:KH.C1.1067	KH2012:KH.C1.1265	KH2012:KH.C1.515	KH2012:KH.C2.674	KH2012:KH.C1.803	KH2012:KH.C8.42	KH2012:KH.L96.38	KH2012:KH.L20.50	KH2012:KH.C11.483	KH2012:KH.C7.408	KH2012:KH.C3.549	KH2012:KH.C3.807	KH2012:KH.C7.75	KH2012:KH.C8.87	KH2012:KH.C1.798	KH2012:KH.C11.32	KH2012:KH.C9.502	KH2012:KH.C2.307	KH2012:KH.L51.8	KH2012:KH.C4.671	KH2012:KH.L172.15	KH2012:KH.C8.298	KH2012:KH.C8.461	KH2012:KH.L116.85	KH2012:KH.C1.1198	KH2012:KH.C1.1254	KH2012:KH.C9.709	KH2012:KH.L41.56	KH2012:KH.C12.272	KH2012:KH.C14.330	KH2012:KH.L170.96	KH2012:KH.C1.473	KH2012:KH.L9.14	KH2012:KH.C4.214	KH2012:KH.C3.438	KH2012:KH.L141.7	KH2012:KH.C11.648	KH2012:KH.C2.245	KH2012:KH.C2.1056	KH2012:KH.C1.941	KH2012:KH.L116.15	KH2012:KH.C9.763	KH2012:KH.C2.561	KH2012:KH.C2.758	KH2012:KH.C9.301	KH2012:KH.C12.297	KH2012:KH.C2.457	KH2012:KH.C5.572	KH2012:KH.C3.80	KH2012:KH.C5.558	KH2012:KH.C7.325	KH2012:KH.C2.849	KH2012:KH.S1660.1	KH2012:KH.C12.550	KH2012:KH.C8.353	KH2012:KH.S1090.4	KH2012:KH.C7.763	KH2012:KH.C8.156	KH2012:KH.C11.690	KH2012:KH.C3.34	KH2012:KH.C1.1101	KH2012:KH.C8.186	KH2012:KH.L108.43	KH2012:KH.C12.611	KH2012:KH.C10.27	KH2012:KH.C9.547	KH2012:KH.C11.85	KH2012:KH.C8.688	KH2012:KH.C8.371	KH2012:KH.C11.160	KH2012:KH.C2.265	KH2012:KH.C5.508	KH2012:KH.C9.253	KH2012:KH.L142.15	KH2012:KH.C4.394	KH2012:KH.C2.234	KH2012:KH.L71.1	KH2012:KH.L18.94	KH2012:KH.C5.522	KH2012:KH.C12.382	KH2012:KH.C5.437	KH2012:KH.L167.5	KH2012:KH.C1.207	KH2012:KH.L138.1	KH2012:KH.C11.502	KH2012:KH.C8.904	KH2012:KH.C13.155	KH2012:KH.C1.90	KH2012:KH.C8.287	KH2012:KH.C1.731	KH2012:KH.C4.606	KH2012:KH.C1.1249	KH2012:KH.C4.753	KH2012:KH.C4.418	KH2012:KH.C4.154	KH2012:KH.C9.150	KH2012:KH.C2.466	KH2012:KH.C11.697	KH2012:KH.C7.664	KH2012:KH.C12.16	KH2012:KH.L112.33	KH2012:KH.C8.145	KH2012:KH.C4.506	KH2012:KH.C4.724	KH2012:KH.C6.184	KH2012:KH.S562.4	KH2012:KH.S691.2	KH2012:KH.C11.495	KH2012:KH.C4.741	KH2012:KH.C8.136	KH2012:KH.L25.4	KH2012:KH.C5.481	KH2012:KH.C4.338	KH2012:KH.C14.416	KH2012:KH.C3.439	KH2012:KH.L153.48	KH2012:KH.C12.538	KH2012:KH.C10.195	KH2012:KH.C4.407	KH2012:KH.C11.291	KH2012:KH.C9.434	KH2012:KH.S563.4	KH2012:KH.C5.8	KH2012:KH.C2.371	KH2012:KH.C3.45	KH2012:KH.C11.486	KH2012:KH.C1.29	KH2012:KH.C9.65	KH2012:KH.L108.15	KH2012:KH.C8.85	KH2012:KH.S1330.3	KH2012:KH.L128.2	KH2012:KH.S583.6	KH2012:KH.C4.529	KH2012:KH.C9.421	KH2012:KH.C8.743	KH2012:KH.C9.573	KH2012:KH.C14.166	KH2012:KH.L168.2	KH2012:KH.S916.1	KH2012:KH.C6.185	KH2012:KH.C5.41	KH2012:KH.C12.129	KH2012:KH.C2.734	KH2012:KH.C2.387	KH2012:KH.C12.683	KH2012:KH.C2.1125	KH2012:KH.C5.230	KH2012:KH.C14.308	KH2012:KH.C10.105	KH2012:KH.C3.788	KH2012:KH.L24.12	KH2012:KH.S992.1	KH2012:KH.C4.115	KH2012:KH.C4.402	KH2012:KH.C3.489	KH2012:KH.C11.155	KH2012:KH.C1.1017	KH2012:KH.C10.207	KH2012:KH.C2.654	KH2012:KH.C1.397	KH2012:KH.L116.10	KH2012:KH.L79.1	KH2012:KH.C2.896	KH2012:KH.C8.157	KH2012:KH.C9.401	KH2012:KH.C5.45	KH2012:KH.S423.6	KH2012:KH.C11.440	KH2012:KH.C3.562	KH2012:KH.C8.318	KH2012:KH.C3.551	KH2012:KH.C4.485	KH2012:KH.L95.11	KH2012:KH.C14.591	KH2012:KH.C3.448	KH2012:KH.C11.540	KH2012:KH.L153.79	KH2012:KH.C1.358	KH2012:KH.C9.770	KH2012:KH.S1993.2	KH2012:KH.C12.65	KH2012:KH.C9.362	KH2012:KH.C7.24	KH2012:KH.C2.402	KH2012:KH.C8.146	KH2012:KH.L106.11	KH2012:KH.L68.2	KH2012:KH.C4.468	KH2012:KH.C3.273	KH2012:KH.C2.486	KH2012:KH.C11.270	KH2012:KH.C6.226	KH2012:KH.C8.265	KH2012:KH.C5.253	KH2012:KH.L47.5	KH2012:KH.C7.173	KH2012:KH.C1.183	KH2012:KH.S761.5	KH2012:KH.C3.883	KH2012:KH.C3.418	KH2012:KH.C11.607	KH2012:KH.C12.11	KH2012:KH.C10.454	KH2012:KH.C14.188	KH2012:KH.C14.354	KH2012:KH.L96.87	KH2012:KH.C4.676	KH2012:KH.C9.281	KH2012:KH.C10.58	KH2012:KH.S406.2	KH2012:KH.C2.499	KH2012:KH.C1.1250	KH2012:KH.C13.115	KH2012:KH.C9.527	KH2012:KH.L37.13	KH2012:KH.C2.1091	KH2012:KH.C6.103	KH2012:KH.C1.459	KH2012:KH.C9.868	KH2012:KH.L116.26	KH2012:KH.C1.19	KH2012:KH.C2.192	KH2012:KH.S1251.1	KH2012:KH.L141.53	KH2012:KH.C2.253	KH2012:KH.L41.9	KH2012:KH.C2.599	KH2012:KH.C10.602	KH2012:KH.C12.301	KH2012:KH.C1.505	KH2012:KH.C11.501	KH2012:KH.S1271.1	KH2012:KH.C2.94	KH2012:KH.C1.606	KH2012:KH.C10.291	KH2012:KH.C2.769	KH2012:KH.C1.843	KH2012:KH.L63.18	KH2012:KH.C2.203	KH2012:KH.S1313.1	KH2012:KH.C8.448	KH2012:KH.C14.4	KH2012:KH.C1.612	KH2012:KH.S618.2	KH2012:KH.C3.790	KH2012:KH.C7.92	KH2012:KH.C6.189	KH2012:KH.C10.102	KH2012:KH.C10.271	KH2012:KH.C2.932	KH2012:KH.C12.587	KH2012:KH.C13.100	KH2012:KH.L18.39	KH2012:KH.L134.22	KH2012:KH.C8.39	KH2012:KH.C3.566	KH2012:KH.C9.885	KH2012:KH.C8.543	KH2012:KH.L53.17	KH2012:KH.C8.852	KH2012:KH.C2.124	KH2012:KH.C3.635	KH2012:KH.C1.301	KH2012:KH.C6.36	KH2012:KH.C1.571	KH2012:KH.L51.5	KH2012:KH.L135.1	KH2012:KH.C10.464	KH2012:KH.C1.840	KH2012:KH.C9.585	KH2012:KH.C11.707	KH2012:KH.C9.280	KH2012:KH.C7.668	KH2012:KH.C8.180	KH2012:KH.S583.5	KH2012:KH.L55.2	KH2012:KH.C5.592	KH2012:KH.C11.357	KH2012:KH.C9.82	KH2012:KH.C1.1005	KH2012:KH.C1.240	KH2012:KH.C12.39	KH2012:KH.C1.409	KH2012:KH.C2.633	KH2012:KH.S1399.1	KH2012:KH.C7.101	KH2012:KH.C9.741	KH2012:KH.L96.13	KH2012:KH.C9.274	KH2012:KH.C13.107	KH2012:KH.C8.208	KH2012:KH.C11.467	KH2012:KH.C4.775	KH2012:KH.C5.495	KH2012:KH.C3.618	KH2012:KH.C5.98	KH2012:KH.C9.381	KH2012:KH.C1.204	KH2012:KH.C9.258	KH2012:KH.C10.182	KH2012:KH.C7.615	KH2012:KH.C7.605	KH2012:KH.L13.28	KH2012:KH.C7.149	KH2012:KH.C9.804	KH2012:KH.C8.823	KH2012:KH.C1.882	KH2012:KH.C13.66	KH2012:KH.C2.91	KH2012:KH.L170.53	KH2012:KH.C9.31	KH2012:KH.C1.706	KH2012:KH.L65.23	KH2012:KH.C2.40	KH2012:KH.C8.93	KH2012:KH.C11.511	KH2012:KH.C14.65	KH2012:KH.C10.531	KH2012:KH.C11.232	KH2012:KH.C8.89	KH2012:KH.C4.519	KH2012:KH.C1.920	KH2012:KH.L108.26	KH2012:KH.C3.568	KH2012:KH.C8.332	KH2012:KH.C6.32	KH2012:KH.C9.410	KH2012:KH.C5.24	KH2012:KH.C9.124	KH2012:KH.C7.437	KH2012:KH.C3.619	KH2012:KH.C12.17	KH2012:KH.C1.749	KH2012:KH.C9.12	KH2012:KH.L147.5	KH2012:KH.S691.1	KH2012:KH.C1.165	KH2012:KH.C10.321	KH2012:KH.L28.9	KH2012:KH.C1.996	KH2012:KH.C9.80	KH2012:KH.C2.322	KH2012:KH.L18.114	KH2012:KH.L56.1	KH2012:KH.C9.234	KH2012:KH.S256.15	KH2012:KH.L28.8	KH2012:KH.C10.198	KH2012:KH.C7.214	KH2012:KH.C1.666	KH2012:KH.C3.421	KH2012:KH.C10.608	KH2012:KH.C4.548	KH2012:KH.C1.398	KH2012:KH.C9.570	KH2012:KH.C3.622	KH2012:KH.L57.17	KH2012:KH.C4.760	KH2012:KH.C4.633	KH2012:KH.L119.14	KH2012:KH.C3.296	KH2012:KH.C11.49	KH2012:KH.C11.353	KH2012:KH.C1.1123	KH2012:KH.C4.702	KH2012:KH.C5.546	KH2012:KH.C1.314	KH2012:KH.L13.21	KH2012:KH.C2.34	KH2012:KH.L108.49	KH2012:KH.C7.106	KH2012:KH.C1.70	KH2012:KH.C6.165	KH2012:KH.C13.97	KH2012:KH.C3.567	KH2012:KH.S1061.3	KH2012:KH.C1.637	KH2012:KH.C1.340	KH2012:KH.C8.664	KH2012:KH.S555.6	KH2012:KH.L96.11	KH2012:KH.C14.498	KH2012:KH.C7.572	KH2012:KH.L147.11	KH2012:KH.S1266.1	KH2012:KH.C1.255	KH2012:KH.C11.460	KH2012:KH.L25.5	KH2012:KH.C1.953	KH2012:KH.C4.727	KH2012:KH.S1148.2	KH2012:KH.C2.433	KH2012:KH.C14.66	KH2012:KH.C9.676	KH2012:KH.C9.836	KH2012:KH.L153.14	KH2012:KH.C9.759	KH2012:KH.L40.4	KH2012:KH.C3.691	KH2012:KH.C2.812	KH2012:KH.L9.10	KH2012:KH.C12.676	KH2012:KH.L96.5	KH2012:KH.C8.50	KH2012:KH.C9.439	KH2012:KH.L155.2	KH2012:KH.C8.746	KH2012:KH.C10.457	KH2012:KH.L147.13	KH2012:KH.L170.16	KH2012:KH.C3.228	KH2012:KH.C2.442	KH2012:KH.C1.198	KH2012:KH.C1.425	KH2012:KH.L170.64	KH2012:KH.C1.138	KH2012:KH.C1.913	KH2012:KH.L96.50	KH2012:KH.C12.244	KH2012:KH.C2.1008	KH2012:KH.C14.180	KH2012:KH.L4.33	KH2012:KH.C11.391	KH2012:KH.C14.403	KH2012:KH.L18.51	KH2012:KH.C10.68	KH2012:KH.C9.277	KH2012:KH.C10.53	KH2012:KH.C3.395	KH2012:KH.C13.14	KH2012:KH.C8.908	KH2012:KH.L149.6	KH2012:KH.L20.49	KH2012:KH.L18.22	KH2012:KH.C8.310	KH2012:KH.C9.515	KH2012:KH.S460.5	KH2012:KH.C8.199	KH2012:KH.C12.50	KH2012:KH.S164.9	KH2012:KH.C1.467	KH2012:KH.C5.177	KH2012:KH.C1.1125	KH2012:KH.C14.414	KH2012:KH.C1.180	KH2012:KH.C14.133	KH2012:KH.C11.374	KH2012:KH.C1.365	KH2012:KH.S1346.1	KH2012:KH.C9.7	KH2012:KH.C8.270	KH2012:KH.L50.5	KH2012:KH.C7.51	KH2012:KH.C2.338	KH2012:KH.C3.266	KH2012:KH.C4.370	KH2012:KH.C8.499	KH2012:KH.C8.248	KH2012:KH.L18.81	KH2012:KH.L170.66	KH2012:KH.C14.284	KH2012:KH.S655.3	KH2012:KH.S164.3	KH2012:KH.C7.275	KH2012:KH.C1.1276	KH2012:KH.C13.122	KH2012:KH.C14.211	KH2012:KH.C6.138	KH2012:KH.C2.404	KH2012:KH.S1155.1	KH2012:KH.C14.467	KH2012:KH.C1.98	KH2012:KH.C3.430	KH2012:KH.C4.353	KH2012:KH.S854.2	KH2012:KH.C4.11	KH2012:KH.C2.317	KH2012:KH.C5.66	KH2012:KH.C2.382	KH2012:KH.C3.12	KH2012:KH.C3.578	KH2012:KH.C9.15	KH2012:KH.L93.2	KH2012:KH.C9.662	KH2012:KH.C14.149	KH2012:KH.C12.521	KH2012:KH.C1.509	KH2012:KH.C2.943	KH2012:KH.L37.26	KH2012:KH.S553.2	KH2012:KH.S555.3	KH2012:KH.C14.236	KH2012:KH.C9.26	KH2012:KH.C2.286	KH2012:KH.C8.684	KH2012:KH.C14.5	KH2012:KH.C6.129	KH2012:KH.C8.372	KH2012:KH.C3.148	KH2012:KH.C1.491	KH2012:KH.C1.869	KH2012:KH.C2.511	KH2012:KH.C1.705	KH2012:KH.C8.458	KH2012:KH.C1.910	KH2012:KH.C5.193	KH2012:KH.C2.81	KH2012:KH.C5.117	KH2012:KH.C2.346	KH2012:KH.C12.109	KH2012:KH.S862.1	KH2012:KH.L152.55	KH2012:KH.C3.136	KH2012:KH.C2.1117	KH2012:KH.C4.282	KH2012:KH.S966.6	KH2012:KH.C9.595	KH2012:KH.C10.288	KH2012:KH.C14.564	KH2012:KH.L13.2	KH2012:KH.C3.842	KH2012:KH.C2.451	KH2012:KH.C9.44	KH2012:KH.L5.11	KH2012:KH.C5.60	KH2012:KH.L93.5	KH2012:KH.C8.251	KH2012:KH.C3.463	KH2012:KH.L18.119	KH2012:KH.C2.82	KH2012:KH.C12.633	KH2012:KH.S483.1	KH2012:KH.C7.616	KH2012:KH.C8.839	KH2012:KH.C9.232	KH2012:KH.C2.944	KH2012:KH.C8.283	KH2012:KH.C1.508	KH2012:KH.C3.31	KH2012:KH.C11.121	KH2012:KH.C14.37	KH2012:KH.C9.454	KH2012:KH.S1526.1	KH2012:KH.L96.6	KH2012:KH.C4.266	KH2012:KH.L51.2	KH2012:KH.C9.478	KH2012:KH.C12.281	KH2012:KH.C2.1094	KH2012:KH.C2.810	KH2012:KH.S688.1	KH2012:KH.C10.114	KH2012:KH.C3.389	KH2012:KH.C1.955	KH2012:KH.L119.23	KH2012:KH.C7.704	KH2012:KH.C7.240	KH2012:KH.C9.181	KH2012:KH.C3.183	KH2012:KH.L87.38	KH2012:KH.C1.295	KH2012:KH.C4.168	KH2012:KH.C5.180	KH2012:KH.L96.10	KH2012:KH.S910.3	KH2012:KH.C8.633	KH2012:KH.C2.862	KH2012:KH.L172.20	KH2012:KH.S1537.2	KH2012:KH.C11.362	KH2012:KH.C7.400	KH2012:KH.L96.39	KH2012:KH.L139.24	KH2012:KH.C11.652	KH2012:KH.C5.281	KH2012:KH.C4.719	KH2012:KH.C10.199	KH2012:KH.C11.480	KH2012:KH.S562.6	KH2012:KH.C2.143	KH2012:KH.C1.698	KH2012:KH.C1.404	KH2012:KH.C2.534	KH2012:KH.C1.888	KH2012:KH.C3.14	KH2012:KH.C8.611	KH2012:KH.C9.226	KH2012:KH.C7.238	KH2012:KH.C6.284	KH2012:KH.C2.577	KH2012:KH.C5.149	KH2012:KH.C3.108	KH2012:KH.C5.496	KH2012:KH.C12.525	KH2012:KH.L107.7	KH2012:KH.C13.92	KH2012:KH.C9.665	KH2012:KH.C5.133	KH2012:KH.S1269.1	KH2012:KH.C1.1075	KH2012:KH.C8.139	KH2012:KH.L152.31	KH2012:KH.C14.320	KH2012:KH.C8.580	KH2012:KH.L99.6	KH2012:KH.C6.83	KH2012:KH.C3.914	KH2012:KH.C4.381	KH2012:KH.C8.506	KH2012:KH.C10.81	KH2012:KH.L123.4	KH2012:KH.C10.277	KH2012:KH.C4.224	KH2012:KH.C4.733	KH2012:KH.C2.595	KH2012:KH.C10.54	KH2012:KH.C2.208	KH2012:KH.S346.1	KH2012:KH.C2.668	KH2012:KH.L64.1	KH2012:KH.L133.2	KH2012:KH.L37.1	KH2012:KH.L170.8	KH2012:KH.C2.1047	KH2012:KH.C4.440	KH2012:KH.C3.187	KH2012:KH.C7.540	KH2012:KH.C2.4	KH2012:KH.C4.123	KH2012:KH.C2.621	KH2012:KH.C12.307	KH2012:KH.C10.59	KH2012:KH.L44.2	KH2012:KH.C1.346	KH2012:KH.C7.570	KH2012:KH.L59.6	KH2012:KH.C2.564	KH2012:KH.C5.148	KH2012:KH.C3.705	KH2012:KH.C1.580	KH2012:KH.L68.1	KH2012:KH.S991.2	KH2012:KH.C13.34	KH2012:KH.L142.5
24	32	33	12	7	3	2	40	12	4	14	11	0	2	14	7	0	3	0	205	1	5	4	3	2	6	51	4	5	4	0	2	0	10	0	1	1	5	0	3	6	2	1	3	2	0	1	4	0	0	3	0	11	0	10	0	1	13	0	1	0	5	4	1	5	3	0	0	18	6	1	0	1	0	0	1	10	1	0	0	0	1	3	0	1	1	0	2	6	1	1	131	3	2	0	1	1	17	0	0	3	3	1	0	3	0	5	1	0	3	11	5	1	0	6	0	3	2	6	0	0	1	0	2	3	3	1	0	0	3	1	0	19	0	2	0	1	0	1	4	1	0	2	2	5	7	2	1	0	1	0	1	1	1	1	0	5	0	0	1	1	3	0	8	1	1	0	17	1	1	32	2	3	0	0	13	3	3	2	0	6	2	0	3	4	0	13	0	9	0	1	2	0	3	0	3	1	0	0	1	0	3	6	2	3	2	3	6	2	0	4	3	5	0	5	0	5	3	0	6	0	23	0	2	0	0	0	0	0	3	0	0	0	1	4	1	0	0	1	0	4	2	2	15	1	0	7	0	2	0	6	1	3	0	0	1	0	2	1	0	2	8	2	1	4	8	3	0	4	0	0	2	3	3	3	2	1	3	0	5	1	3	6	1	0	2	0	0	1	0	2	2	8	0	0	0	0	2	3	16	6	1	0	3	2	3	0	2	4	0	0	10	4	0	8	0	0	1	0	11	0	2	0	0	2	0	0	3	0	0	4	1	0	0	4	0	1	0	2	3	3	0	0	0	0	1	0	2	2	1	0	0	0	6	2	0	1	4	1	1	0	0	3	0	4	0	0	0	3	0	1	0	23	0	0	1	0	0	0	0	0	0	0	1	0	39	1	0	6	1	1	0	3	0	0	10	4	2	13	2	0	0	2	1	0	16	1	1	3	0	38	2	2	45	0	6	0	1	1	1	0	8	3	3	3	0	5	0	1	1	0	1	0	1	6	6	0	1	2	3	1	1	0	1	1	4	0	0	2	0	0	0	1	3	0	4	0	0	0	0	0	3	0	0	0	1	0	0	0	1	5	0	3	0	0	4	3	0	5	1	1	2	0	1	2	0	0	0	0	2	0	0	0	0	0	0	1	3	5	0	2	2	2	0	1	11	4	0	1	0	1	1	3	2	1	4	18	0	1	3	5	0	1	0	0	2	1	0	15	0	13	1	2	0	0	4	18	1	1	0	2	0	1	0	0	3	3	1	0	0	2	1	1	0	0	0	0	0	0	3	4	0	5	1	0	7	5	1	0	3	1	0	0	0	13	0	2	0	0	4	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	8	0	0	3	0	3	3	0	0	0	1	1	0	0	1	2	1	0	1	3	2	0	0	13	0	0	0	0	0	0	0	0	1	0	0	2	5	0	0	0	0	2	1	0	0	2	0	1	0	0	3	0	3	1	0	1	0	1	1	0	11	1	5	1	0	0	0	0	0	2	0	1	1	2	1	0	1	2	1	2	0	1	0	25	0	0	1	1	0	1	0	0	0	5	0	1	0	2	2	3	1	1	1	3	0	0	1	0	0	0	0	0	1	0	0
0	0	106	0	10	3	11	1	11	6	19	21	0	10	1	15	0	5	10	101	0	0	7	6	11	9	0	17	5	8	4	7	14	14	0	0	3	1	0	3	26	0	1	15	6	0	1	5	3	3	3	6	28	0	10	3	2	4	4	3	0	2	1	0	8	5	0	0	61	24	6	1	3	0	0	1	0	4	1	7	7	3	6	0	0	7	0	2	27	1	0	445	6	7	1	2	1	28	10	3	12	2	0	1	1	0	3	8	0	7	19	4	1	4	15	1	0	4	11	2	3	1	0	4	5	14	3	11	7	1	0	3	1	7	0	7	3	0	5	2	0	8	2	3	1	3	1	4	7	2	2	3	1	19	0	36	1	5	0	0	9	2	0	3	0	2	2	15	1	0	25	7	0	0	0	6	1	5	1	9	5	5	2	1	8	5	15	40	11	1	3	1	4	4	12	4	6	2	0	4	1	4	10	2	2	3	8	11	5	0	13	9	2	1	17	1	9	0	2	58	3	27	4	0	0	7	3	0	2	1	0	0	0	1	12	1	2	1	0	3	0	2	2	19	2	3	12	1	8	2	15	2	8	0	2	3	1	2	10	1	9	9	24	1	7	8	1	0	1	1	2	0	2	1	0	7	2	1	0	10	3	1	6	0	0	0	1	0	3	5	0	0	11	0	2	0	0	6	3	6	15	6	5	0	3	8	1	3	2	0	87	27	8	0	0	0	0	0	0	8	2	12	2	0	17	3	2	0	0	1	0	5	0	0	3	0	0	1	5	4	7	0	2	0	0	0	2	1	2	13	2	0	5	1	2	1	1	6	4	8	0	0	2	2	7	1	9	0	8	3	0	0	17	1	0	9	2	0	3	0	2	0	0	10	2	45	3	1	2	1	1	0	1	4	0	13	1	1	19	3	0	0	1	0	0	81	0	0	3	1	78	0	4	175	0	33	3	1	5	0	0	4	6	1	2	3	8	1	5	7	3	0	0	0	4	38	1	4	4	2	12	0	1	0	2	6	3	0	2	2	0	0	1	0	0	0	2	0	7	1	0	2	0	0	0	0	5	2	2	10	0	2	7	0	1	3	5	1	3	0	0	7	0	1	2	0	0	0	0	0	1	0	0	1	0	1	0	0	29	0	2	0	4	3	1	19	8	0	4	11	2	4	3	1	1	1	0	3	0	6	11	0	0	1	3	0	1	1	21	2	0	7	0	2	0	1	31	0	0	1	3	0	0	1	0	2	5	0	0	8	0	4	9	0	0	0	0	5	0	5	16	3	2	1	3	0	3	16	3	4	4	1	0	0	19	1	7	1	0	7	5	0	0	0	4	2	7	3	0	2	0	1	0	0	3	4	0	5	0	0	0	1	0	10	8	0	2	0	1	1	0	0	0	3	1	3	1	0	1	2	0	9	0	2	2	0	2	2	2	2	1	1	0	1	15	0	2	0	0	0	0	0	0	2	4	0	0	0	1	0	3	4	0	1	3	0	1	0	16	1	6	0	1	0	3	0	0	4	0	2	5	0	1	3	1	4	0	2	1	0	0	12	0	1	1	0	0	0	0	0	1	5	0	1	0	2	1	1	0	1	2	4	2	2	2	0	0	3	2	0	4	1	0
0	2	14	0	6	1	5	3	24	3	15	22	0	6	0	10	0	1	6	145	0	0	3	0	4	3	33	8	8	7	4	3	16	18	0	1	1	1	0	4	6	0	0	10	2	1	4	12	5	5	3	5	0	0	11	1	4	5	2	0	0	2	0	0	8	29	0	0	25	14	1	1	0	0	0	9	2	2	1	4	4	1	1	0	0	3	0	0	17	2	1	278	1	8	4	2	0	12	6	2	3	0	0	2	0	1	3	2	0	11	17	1	1	0	10	2	4	2	19	1	4	0	9	1	1	4	4	2	2	0	0	3	0	1	0	2	2	0	1	0	3	10	2	1	1	3	1	1	3	2	0	0	0	5	1	15	7	6	0	0	11	3	2	3	0	3	0	16	3	0	18	4	1	0	0	8	0	3	0	3	7	5	0	0	0	1	14	17	12	0	0	7	2	4	0	6	0	0	0	3	0	0	7	0	3	1	3	9	3	0	8	9	2	0	16	0	12	0	0	36	0	19	1	0	0	1	1	1	0	0	0	0	0	12	6	0	2	0	2	0	1	2	0	12	0	0	1	0	2	2	12	4	1	0	0	0	1	1	0	1	5	8	10	0	7	4	1	0	0	1	3	0	4	0	1	0	2	1	0	3	0	0	4	0	1	5	1	0	0	1	0	0	14	0	0	1	1	4	4	6	14	2	1	2	0	1	0	1	1	0	0	12	1	0	0	0	0	0	0	9	1	6	1	0	2	2	0	3	0	1	0	1	0	0	0	0	0	0	3	1	3	0	2	0	0	0	1	1	2	4	0	1	2	4	2	2	1	1	2	2	0	0	0	0	5	0	2	0	7	0	4	1	17	0	0	8	0	0	0	1	0	0	1	10	3	22	0	0	1	2	2	0	0	0	0	10	2	0	10	4	0	0	0	1	0	26	0	0	0	2	44	0	2	130	0	15	0	2	1	3	0	1	1	2	5	1	7	0	0	8	0	1	0	0	5	18	0	4	2	2	1	0	0	1	2	2	1	0	0	3	0	0	2	0	0	1	2	0	1	4	0	0	0	0	0	0	4	0	1	2	2	0	3	0	1	0	10	1	0	0	0	0	0	2	3	0	2	0	0	2	0	2	0	0	0	1	0	0	23	0	0	0	3	1	1	9	5	0	0	3	0	0	2	5	1	1	1	0	1	2	3	0	1	0	0	0	0	0	16	0	1	2	0	5	1	1	11	0	0	0	1	1	0	0	0	0	3	1	0	0	7	1	0	0	0	0	2	1	0	0	6	1	0	1	0	0	2	0	2	1	1	0	0	0	16	0	8	0	1	2	3	0	1	0	0	1	4	1	0	2	1	0	1	0	2	3	0	0	1	0	0	2	0	5	2	0	0	0	0	1	0	1	1	4	0	4	0	0	3	4	0	5	0	0	0	0	2	4	0	0	4	0	0	0	6	1	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	17	0	3	1	0	2	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	2	1	0	1
