Orphan bHLH-2
Otp
COE
Ci-ZF150
FLJ21616-related
NK5
HNF6
SET and MYND domain containing 1 // Ci-ZF438
NGFI-A binding protein 1/2
Pitx
Tbx2/3
Ci-ZF132
Groucho2
Ci-ZF169
PUR-α/β/γ
Ci-ZF298
Groucho1
Ci-ZF051
Neurogenin
Lhx1
Ci-ZF105
Ci-ZF164
