isl
Ci-ZF053
Tbx2/3
Ci-ZF105
xBPd
Emx
TR2/4 // Ci-ZF239
FoxH-a
Zinc Finger (C2H2)-20 // Ci-ZF271
BCL6-likeC2H2Zinc finger // Ci-ZF217
FoxG
Zinc Finger (C2H2)-2 // Ci-ZF220
Ci-ZF189
Ci-ZF156
Ci-ZF076
FLJ21616-related
Max
Ci-ZF077
Ci-ZF332
SoxB1
